"requestid","boro","yr","m","d","hh","mm","vol","segmentid","wktgeom","street","fromst","tost","direction"
"1100","Staten Island","2011","10","14","18","15","362","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","18","30","281","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","18","45","304","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","19","0","252","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","19","15","255","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","19","30","254","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","19","45","180","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","20","0","169","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","20","15","210","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","20","30","146","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","20","45","103","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","21","0","126","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","21","15","120","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","21","30","135","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","21","45","84","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","22","0","148","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","22","15","76","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","22","30","136","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","22","45","75","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","23","0","125","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","23","15","75","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","23","30","116","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","23","45","43","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","0","0","122","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","0","15","47","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","0","30","81","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","0","45","28","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","1","0","80","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","1","15","37","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","1","30","81","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","1","45","33","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","2","0","78","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","2","15","16","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","2","30","39","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","2","45","25","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","3","0","105","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","3","15","14","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","3","30","14","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","3","45","10","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","4","0","87","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","4","15","20","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","4","30","23","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","4","45","27","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","5","0","82","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","5","15","20","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","5","30","45","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","5","45","44","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","6","0","55","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","6","15","41","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","6","30","46","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","6","45","53","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","7","0","65","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","7","15","61","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","7","30","76","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","7","45","111","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","8","0","79","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","8","15","89","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","8","30","80","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","8","45","108","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","9","0","114","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","9","15","113","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","9","30","99","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","9","45","117","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","10","0","109","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","10","15","88","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","10","30","97","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","10","45","138","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","11","0","100","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","11","15","121","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","11","30","145","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","11","45","113","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","12","0","115","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","12","15","135","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","12","30","144","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","12","45","139","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","13","0","150","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","13","15","159","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","13","30","115","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","13","45","106","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","14","0","104","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","14","15","97","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","14","30","106","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","14","45","103","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","15","0","90","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","15","15","100","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","15","30","130","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","15","45","98","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","16","0","168","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","16","15","139","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","16","30","96","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","16","45","69","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","17","0","105","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","17","15","121","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","17","30","145","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","17","45","109","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","18","0","159","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","18","15","77","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","18","30","151","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","18","45","141","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","19","0","134","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","19","15","110","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","19","30","136","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","19","45","111","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","20","0","115","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","20","15","112","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","20","30","71","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","20","45","66","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","21","0","139","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","21","15","103","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","21","30","78","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","21","45","63","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","22","0","112","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","22","15","199","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","22","30","83","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","22","45","69","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","23","0","50","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","23","15","162","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","23","30","63","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","15","23","45","80","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","0","0","53","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","0","15","172","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","0","30","48","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","0","45","29","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","1","0","105","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","1","15","29","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","1","30","31","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","1","45","34","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","2","0","77","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","2","15","34","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","2","30","21","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","2","45","18","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","3","0","61","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","3","15","62","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","3","30","23","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","3","45","36","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","4","0","78","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","4","15","25","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","4","30","17","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","4","45","25","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","5","0","34","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","5","15","49","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","5","30","16","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","5","45","24","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","6","0","24","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","6","15","29","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","6","30","23","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","6","45","19","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","7","0","32","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","7","15","23","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","7","30","25","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","7","45","37","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","8","0","30","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","8","15","28","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","8","30","31","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","8","45","46","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","9","0","66","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","9","15","36","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","9","30","39","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","9","45","45","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","10","0","49","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","10","15","47","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","10","30","56","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","10","45","54","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","11","0","69","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","11","15","88","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","11","30","65","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","11","45","60","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","12","0","75","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","12","15","107","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","12","30","94","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","16","12","45","93","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
