"iddate","year","idgeo","isoalpha3","source","indicator","area","quintile","sex","education_level","age","ethnicity","value","se","cv","sample"
"year","2006","country","ARG","ARG-EPHC","jefa_ch","Total","Total","Total","Total","Total","Total","0.31965658","0.37079251","1.1599715","37521.0"
"year","2006","country","ARG","ARG-EPHC","jefaecon_ch","Total","Total","Total","Total","Total","Total","0.3521086500000001","0.38045105","1.0804933","37521.0"
"year","2006","country","ARG","ARG-EPHC","pobfem_ci","Total","Total","Total","Total","Total","Total","0.52030552","0.21996972","0.42277029","129410.0"
"year","2006","country","ARG","ARG-EPHC","miembro6_ch","Total","Total","Total","Total","Total","Total","0.24341508999999997","0.34696084","1.4253876","37521.0"
"year","2006","country","ARG","ARG-EPHC","miembro6y16_ch","Total","Total","Total","Total","Total","Total","0.35813297","0.38662869","1.0795674","37521.0"
"year","2006","country","ARG","ARG-EPHC","miembro65_ch","Total","Total","Total","Total","Total","Total","0.26136833","0.34955436","1.3374013999999999","37521.0"
"year","2006","country","ARG","ARG-EPHC","unip_ch","Total","Total","Total","Total","Total","Total","0.16275513","0.29178685","1.7927968999999997","37521.0"
"year","2006","country","ARG","ARG-EPHC","nucl_ch","Total","Total","Total","Total","Total","Total","0.65134254","0.37936151","0.58243012","37521.0"
"year","2006","country","ARG","ARG-EPHC","ampl_ch","Total","Total","Total","Total","Total","Total","0.17139948","0.29970157","1.7485558999999997","37521.0"
"year","2006","country","ARG","ARG-EPHC","comp_ch","Total","Total","Total","Total","Total","Total","0.0061478889000000005","0.060870595","9.901057199999999","37521.0"
"year","2006","country","ARG","ARG-EPHC","corres_ch","Total","Total","Total","Total","Total","Total","0.0083549392","0.061348289","7.3427572","37521.0"
"year","2006","country","ARG","ARG-EPHC","depen_ch","Total","Total","Total","Total","Total","Total","2.053124","0.010264039","0.49992299","37122.0"
"year","2006","country","ARG","ARG-EPHC","tamh_ch","Total","Total","Total","Total","Total","Total","3.2810421","0.014502956000000001","0.44202283","37521.0"
"year","2006","country","ARG","ARG-EPHC","pob18_ci","Total","Total","Total","Total","Total","Total","0.32112904","0.20532769","0.63939309","129410.0"
"year","2006","country","ARG","ARG-EPHC","pob65_ci","Total","Total","Total","Total","Total","Total","0.10360041","0.13352421","1.2888387","129410.0"
"year","2006","country","ARG","ARG-EPHC","union_ci","Total","Total","Total","Total","Total","Total","0.40143253","0.21678427","0.54002661","129409.0"
"year","2006","country","ARG","ARG-EPHC","jefa_ch","urban","Total","Total","Total","Total","Total","0.31965658","0.37079251","1.1599715","37521.0"
"year","2006","country","ARG","ARG-EPHC","jefaecon_ch","urban","Total","Total","Total","Total","Total","0.3521086500000001","0.38045105","1.0804933","37521.0"
"year","2006","country","ARG","ARG-EPHC","pobfem_ci","urban","Total","Total","Total","Total","Total","0.52030552","0.21996972","0.42277029","129410.0"
"year","2006","country","ARG","ARG-EPHC","miembro6_ch","urban","Total","Total","Total","Total","Total","0.24341508999999997","0.34696084","1.4253876","37521.0"
"year","2006","country","ARG","ARG-EPHC","miembro6y16_ch","urban","Total","Total","Total","Total","Total","0.35813297","0.38662869","1.0795674","37521.0"
"year","2006","country","ARG","ARG-EPHC","miembro65_ch","urban","Total","Total","Total","Total","Total","0.26136833","0.34955436","1.3374013999999999","37521.0"
"year","2006","country","ARG","ARG-EPHC","unip_ch","urban","Total","Total","Total","Total","Total","0.16275513","0.29178685","1.7927968999999997","37521.0"
"year","2006","country","ARG","ARG-EPHC","nucl_ch","urban","Total","Total","Total","Total","Total","0.65134254","0.37936151","0.58243012","37521.0"
"year","2006","country","ARG","ARG-EPHC","ampl_ch","urban","Total","Total","Total","Total","Total","0.17139948","0.29970157","1.7485558999999997","37521.0"
"year","2006","country","ARG","ARG-EPHC","comp_ch","urban","Total","Total","Total","Total","Total","0.0061478889000000005","0.060870595","9.901057199999999","37521.0"
"year","2006","country","ARG","ARG-EPHC","corres_ch","urban","Total","Total","Total","Total","Total","0.0083549392","0.061348289","7.3427572","37521.0"
"year","2006","country","ARG","ARG-EPHC","depen_ch","urban","Total","Total","Total","Total","Total","2.053124","0.010264039","0.49992299","37122.0"
"year","2006","country","ARG","ARG-EPHC","tamh_ch","urban","Total","Total","Total","Total","Total","3.2810421","0.014502956000000001","0.44202283","37521.0"
"year","2006","country","ARG","ARG-EPHC","pob18_ci","urban","Total","Total","Total","Total","Total","0.32112904","0.20532769","0.63939309","129410.0"
"year","2006","country","ARG","ARG-EPHC","pob65_ci","urban","Total","Total","Total","Total","Total","0.10360041","0.13352421","1.2888387","129410.0"
"year","2006","country","ARG","ARG-EPHC","union_ci","urban","Total","Total","Total","Total","Total","0.40143253","0.21678427","0.54002661","129409.0"
"year","2006","country","ARG","ARG-EPHC","jefa_ch","Total","quintile_1","Total","Total","Total","Total","0.34652264000000005","1.0191308000000001","2.9410224","5883.0"
"year","2006","country","ARG","ARG-EPHC","jefaecon_ch","Total","quintile_1","Total","Total","Total","Total","0.37353953999999995","1.0356436","2.7725141","5883.0"
"year","2006","country","ARG","ARG-EPHC","pobfem_ci","Total","quintile_1","Total","Total","Total","Total","0.52317833","0.47858196","0.91475874","29652.0"
"year","2006","country","ARG","ARG-EPHC","miembro6_ch","Total","quintile_1","Total","Total","Total","Total","0.47121784000000005","1.0692778","2.2691793","5883.0"
"year","2006","country","ARG","ARG-EPHC","miembro6y16_ch","Total","quintile_1","Total","Total","Total","Total","0.6809518400000001","1.0223234","1.5013152","5883.0"
"year","2006","country","ARG","ARG-EPHC","miembro65_ch","Total","quintile_1","Total","Total","Total","Total","0.1428939","0.78636676","5.5031514","5883.0"
"year","2006","country","ARG","ARG-EPHC","unip_ch","Total","quintile_1","Total","Total","Total","Total","0.045080342","0.42929071","9.522791900000001","5883.0"
"year","2006","country","ARG","ARG-EPHC","nucl_ch","Total","quintile_1","Total","Total","Total","Total","0.69448723","0.97783971","1.4080025","5883.0"
"year","2006","country","ARG","ARG-EPHC","ampl_ch","Total","quintile_1","Total","Total","Total","Total","0.25249588","0.92289871","3.6551042000000002","5883.0"
"year","2006","country","ARG","ARG-EPHC","comp_ch","Total","quintile_1","Total","Total","Total","Total","0.005472726799999999","0.15217617","27.806279999999997","5883.0"
"year","2006","country","ARG","ARG-EPHC","corres_ch","Total","quintile_1","Total","Total","Total","Total","0.0024638456","0.096112683","39.009215999999995","5883.0"
"year","2006","country","ARG","ARG-EPHC","depen_ch","Total","quintile_1","Total","Total","Total","Total","3.4047356","0.036538459","1.0731659","5883.0"
"year","2006","country","ARG","ARG-EPHC","tamh_ch","Total","quintile_1","Total","Total","Total","Total","4.820860400000001","0.047322225","0.98161376","5883.0"
"year","2006","country","ARG","ARG-EPHC","pob18_ci","Total","quintile_1","Total","Total","Total","Total","0.5156689799999999","0.47910386","0.92909187","29652.0"
"year","2006","country","ARG","ARG-EPHC","pob65_ci","Total","quintile_1","Total","Total","Total","Total","0.03678350700000001","0.19788079","5.3796067","29652.0"
"year","2006","country","ARG","ARG-EPHC","union_ci","Total","quintile_1","Total","Total","Total","Total","0.29431278000000005","0.4387219","1.4906654","29652.0"
"year","2006","country","ARG","ARG-EPHC","jefa_ch","urban","quintile_1","Total","Total","Total","Total","0.34652264000000005","1.0191308000000001","2.9410224","5883.0"
"year","2006","country","ARG","ARG-EPHC","jefaecon_ch","urban","quintile_1","Total","Total","Total","Total","0.37353953999999995","1.0356436","2.7725141","5883.0"
"year","2006","country","ARG","ARG-EPHC","pobfem_ci","urban","quintile_1","Total","Total","Total","Total","0.52317833","0.47858196","0.91475874","29652.0"
"year","2006","country","ARG","ARG-EPHC","miembro6_ch","urban","quintile_1","Total","Total","Total","Total","0.47121784000000005","1.0692778","2.2691793","5883.0"
"year","2006","country","ARG","ARG-EPHC","miembro6y16_ch","urban","quintile_1","Total","Total","Total","Total","0.6809518400000001","1.0223234","1.5013152","5883.0"
"year","2006","country","ARG","ARG-EPHC","miembro65_ch","urban","quintile_1","Total","Total","Total","Total","0.1428939","0.78636676","5.5031514","5883.0"
"year","2006","country","ARG","ARG-EPHC","unip_ch","urban","quintile_1","Total","Total","Total","Total","0.045080342","0.42929071","9.522791900000001","5883.0"
"year","2006","country","ARG","ARG-EPHC","nucl_ch","urban","quintile_1","Total","Total","Total","Total","0.69448723","0.97783971","1.4080025","5883.0"
"year","2006","country","ARG","ARG-EPHC","ampl_ch","urban","quintile_1","Total","Total","Total","Total","0.25249588","0.92289871","3.6551042000000002","5883.0"
"year","2006","country","ARG","ARG-EPHC","comp_ch","urban","quintile_1","Total","Total","Total","Total","0.005472726799999999","0.15217617","27.806279999999997","5883.0"
"year","2006","country","ARG","ARG-EPHC","corres_ch","urban","quintile_1","Total","Total","Total","Total","0.0024638456","0.096112683","39.009215999999995","5883.0"
"year","2006","country","ARG","ARG-EPHC","depen_ch","urban","quintile_1","Total","Total","Total","Total","3.4047356","0.036538459","1.0731659","5883.0"
"year","2006","country","ARG","ARG-EPHC","tamh_ch","urban","quintile_1","Total","Total","Total","Total","4.820860400000001","0.047322225","0.98161376","5883.0"
"year","2006","country","ARG","ARG-EPHC","pob18_ci","urban","quintile_1","Total","Total","Total","Total","0.5156689799999999","0.47910386","0.92909187","29652.0"
"year","2006","country","ARG","ARG-EPHC","pob65_ci","urban","quintile_1","Total","Total","Total","Total","0.03678350700000001","0.19788079","5.3796067","29652.0"
"year","2006","country","ARG","ARG-EPHC","union_ci","urban","quintile_1","Total","Total","Total","Total","0.29431278000000005","0.4387219","1.4906654","29652.0"
"year","2006","country","ARG","ARG-EPHC","jefa_ch","Total","quintile_2","Total","Total","Total","Total","0.26689899","0.86734551","3.2497144000000002","6093.0"
"year","2006","country","ARG","ARG-EPHC","jefaecon_ch","Total","quintile_2","Total","Total","Total","Total","0.27162333","0.87491602","3.2210634","6093.0"
"year","2006","country","ARG","ARG-EPHC","pobfem_ci","Total","quintile_2","Total","Total","Total","Total","0.51342175","0.50514716","0.98388338","25331.0"
"year","2006","country","ARG","ARG-EPHC","miembro6_ch","Total","quintile_2","Total","Total","Total","Total","0.37125755","0.99925804","2.6915492999999997","6093.0"
"year","2006","country","ARG","ARG-EPHC","miembro6y16_ch","Total","quintile_2","Total","Total","Total","Total","0.55561802","1.007233","1.8128157","6093.0"
"year","2006","country","ARG","ARG-EPHC","miembro65_ch","Total","quintile_2","Total","Total","Total","Total","0.21260025","0.79452974","3.7372007000000007","6093.0"
"year","2006","country","ARG","ARG-EPHC","unip_ch","Total","quintile_2","Total","Total","Total","Total","0.040969567000000005","0.36452028","8.8973427","6093.0"
"year","2006","country","ARG","ARG-EPHC","nucl_ch","Total","quintile_2","Total","Total","Total","Total","0.7149550600000001","0.89074743","1.2458789","6093.0"
"year","2006","country","ARG","ARG-EPHC","ampl_ch","Total","quintile_2","Total","Total","Total","Total","0.23121344","0.83491969","3.6110344","6093.0"
"year","2006","country","ARG","ARG-EPHC","comp_ch","Total","quintile_2","Total","Total","Total","Total","0.008631627000000001","0.18090089","20.957912","6093.0"
"year","2006","country","ARG","ARG-EPHC","corres_ch","Total","quintile_2","Total","Total","Total","Total","0.004230309099999999","0.081063382","19.162519","6093.0"
"year","2006","country","ARG","ARG-EPHC","depen_ch","Total","quintile_2","Total","Total","Total","Total","2.6177623","0.026271816","1.0035983","6093.0"
"year","2006","country","ARG","ARG-EPHC","tamh_ch","Total","quintile_2","Total","Total","Total","Total","4.0946498","0.037477128","0.91527057","6093.0"
"year","2006","country","ARG","ARG-EPHC","pob18_ci","Total","quintile_2","Total","Total","Total","Total","0.40169212000000004","0.49773049","1.2390845","25331.0"
"year","2006","country","ARG","ARG-EPHC","pob65_ci","Total","quintile_2","Total","Total","Total","Total","0.072112708","0.24512132","3.3991417999999998","25331.0"
"year","2006","country","ARG","ARG-EPHC","union_ci","Total","quintile_2","Total","Total","Total","Total","0.39692207","0.49801132","1.2546829","25331.0"
"year","2006","country","ARG","ARG-EPHC","jefa_ch","urban","quintile_2","Total","Total","Total","Total","0.26689899","0.86734551","3.2497144000000002","6093.0"
"year","2006","country","ARG","ARG-EPHC","jefaecon_ch","urban","quintile_2","Total","Total","Total","Total","0.27162333","0.87491602","3.2210634","6093.0"
"year","2006","country","ARG","ARG-EPHC","pobfem_ci","urban","quintile_2","Total","Total","Total","Total","0.51342175","0.50514716","0.98388338","25331.0"
"year","2006","country","ARG","ARG-EPHC","miembro6_ch","urban","quintile_2","Total","Total","Total","Total","0.37125755","0.99925804","2.6915492999999997","6093.0"
"year","2006","country","ARG","ARG-EPHC","miembro6y16_ch","urban","quintile_2","Total","Total","Total","Total","0.55561802","1.007233","1.8128157","6093.0"
"year","2006","country","ARG","ARG-EPHC","miembro65_ch","urban","quintile_2","Total","Total","Total","Total","0.21260025","0.79452974","3.7372007000000007","6093.0"
"year","2006","country","ARG","ARG-EPHC","unip_ch","urban","quintile_2","Total","Total","Total","Total","0.040969567000000005","0.36452028","8.8973427","6093.0"
"year","2006","country","ARG","ARG-EPHC","nucl_ch","urban","quintile_2","Total","Total","Total","Total","0.7149550600000001","0.89074743","1.2458789","6093.0"
"year","2006","country","ARG","ARG-EPHC","ampl_ch","urban","quintile_2","Total","Total","Total","Total","0.23121344","0.83491969","3.6110344","6093.0"
"year","2006","country","ARG","ARG-EPHC","comp_ch","urban","quintile_2","Total","Total","Total","Total","0.008631627000000001","0.18090089","20.957912","6093.0"
"year","2006","country","ARG","ARG-EPHC","corres_ch","urban","quintile_2","Total","Total","Total","Total","0.004230309099999999","0.081063382","19.162519","6093.0"
"year","2006","country","ARG","ARG-EPHC","depen_ch","urban","quintile_2","Total","Total","Total","Total","2.6177623","0.026271816","1.0035983","6093.0"
"year","2006","country","ARG","ARG-EPHC","tamh_ch","urban","quintile_2","Total","Total","Total","Total","4.0946498","0.037477128","0.91527057","6093.0"
"year","2006","country","ARG","ARG-EPHC","pob18_ci","urban","quintile_2","Total","Total","Total","Total","0.40169212000000004","0.49773049","1.2390845","25331.0"
"year","2006","country","ARG","ARG-EPHC","pob65_ci","urban","quintile_2","Total","Total","Total","Total","0.072112708","0.24512132","3.3991417999999998","25331.0"
"year","2006","country","ARG","ARG-EPHC","union_ci","urban","quintile_2","Total","Total","Total","Total","0.39692207","0.49801132","1.2546829","25331.0"
"year","2006","country","ARG","ARG-EPHC","jefa_ch","Total","quintile_3","Total","Total","Total","Total","0.2946163","0.81550068","2.7680094","7377.0"
"year","2006","country","ARG","ARG-EPHC","jefaecon_ch","Total","quintile_3","Total","Total","Total","Total","0.31260899999999997","0.82367575","2.6348432999999996","7377.0"
"year","2006","country","ARG","ARG-EPHC","pobfem_ci","Total","quintile_3","Total","Total","Total","Total","0.5144748299999999","0.49779961","0.96758783","25346.0"
"year","2006","country","ARG","ARG-EPHC","miembro6_ch","Total","quintile_3","Total","Total","Total","Total","0.26273515999999997","0.81560546","3.1042874","7377.0"
"year","2006","country","ARG","ARG-EPHC","miembro6y16_ch","Total","quintile_3","Total","Total","Total","Total","0.39617286999999995","0.90223825","2.2773852000000003","7377.0"
"year","2006","country","ARG","ARG-EPHC","miembro65_ch","Total","quintile_3","Total","Total","Total","Total","0.27824673","0.79672283","2.8633683","7377.0"
"year","2006","country","ARG","ARG-EPHC","unip_ch","Total","quintile_3","Total","Total","Total","Total","0.11122052","0.53765595","4.834143599999999","7377.0"
"year","2006","country","ARG","ARG-EPHC","nucl_ch","Total","quintile_3","Total","Total","Total","Total","0.6630223100000001","0.85302341","1.2865681999999998","7377.0"
"year","2006","country","ARG","ARG-EPHC","ampl_ch","Total","quintile_3","Total","Total","Total","Total","0.21251795","0.74987566","3.5285287000000003","7377.0"
"year","2006","country","ARG","ARG-EPHC","comp_ch","Total","quintile_3","Total","Total","Total","Total","0.006924425400000001","0.14247094","20.575129","7377.0"
"year","2006","country","ARG","ARG-EPHC","corres_ch","Total","quintile_3","Total","Total","Total","Total","0.0063147593","0.10623873","16.823877","7377.0"
"year","2006","country","ARG","ARG-EPHC","depen_ch","Total","quintile_3","Total","Total","Total","Total","2.0869868","0.019022942","0.91150272","7377.0"
"year","2006","country","ARG","ARG-EPHC","tamh_ch","Total","quintile_3","Total","Total","Total","Total","3.4127498","0.029125016","0.85341787","7377.0"
"year","2006","country","ARG","ARG-EPHC","pob18_ci","Total","quintile_3","Total","Total","Total","Total","0.30491366999999997","0.45908049","1.505608","25346.0"
"year","2006","country","ARG","ARG-EPHC","pob65_ci","Total","quintile_3","Total","Total","Total","Total","0.10931899000000002","0.29687572","2.7156827","25346.0"
"year","2006","country","ARG","ARG-EPHC","union_ci","Total","quintile_3","Total","Total","Total","Total","0.42377125","0.49392751","1.1655521","25346.0"
"year","2006","country","ARG","ARG-EPHC","jefa_ch","urban","quintile_3","Total","Total","Total","Total","0.2946163","0.81550068","2.7680094","7377.0"
"year","2006","country","ARG","ARG-EPHC","jefaecon_ch","urban","quintile_3","Total","Total","Total","Total","0.31260899999999997","0.82367575","2.6348432999999996","7377.0"
"year","2006","country","ARG","ARG-EPHC","pobfem_ci","urban","quintile_3","Total","Total","Total","Total","0.5144748299999999","0.49779961","0.96758783","25346.0"
"year","2006","country","ARG","ARG-EPHC","miembro6_ch","urban","quintile_3","Total","Total","Total","Total","0.26273515999999997","0.81560546","3.1042874","7377.0"
"year","2006","country","ARG","ARG-EPHC","miembro6y16_ch","urban","quintile_3","Total","Total","Total","Total","0.39617286999999995","0.90223825","2.2773852000000003","7377.0"
"year","2006","country","ARG","ARG-EPHC","miembro65_ch","urban","quintile_3","Total","Total","Total","Total","0.27824673","0.79672283","2.8633683","7377.0"
"year","2006","country","ARG","ARG-EPHC","unip_ch","urban","quintile_3","Total","Total","Total","Total","0.11122052","0.53765595","4.834143599999999","7377.0"
"year","2006","country","ARG","ARG-EPHC","nucl_ch","urban","quintile_3","Total","Total","Total","Total","0.6630223100000001","0.85302341","1.2865681999999998","7377.0"
"year","2006","country","ARG","ARG-EPHC","ampl_ch","urban","quintile_3","Total","Total","Total","Total","0.21251795","0.74987566","3.5285287000000003","7377.0"
"year","2006","country","ARG","ARG-EPHC","comp_ch","urban","quintile_3","Total","Total","Total","Total","0.006924425400000001","0.14247094","20.575129","7377.0"
"year","2006","country","ARG","ARG-EPHC","corres_ch","urban","quintile_3","Total","Total","Total","Total","0.0063147593","0.10623873","16.823877","7377.0"
"year","2006","country","ARG","ARG-EPHC","depen_ch","urban","quintile_3","Total","Total","Total","Total","2.0869868","0.019022942","0.91150272","7377.0"
"year","2006","country","ARG","ARG-EPHC","tamh_ch","urban","quintile_3","Total","Total","Total","Total","3.4127498","0.029125016","0.85341787","7377.0"
"year","2006","country","ARG","ARG-EPHC","pob18_ci","urban","quintile_3","Total","Total","Total","Total","0.30491366999999997","0.45908049","1.505608","25346.0"
"year","2006","country","ARG","ARG-EPHC","pob65_ci","urban","quintile_3","Total","Total","Total","Total","0.10931899000000002","0.29687572","2.7156827","25346.0"
"year","2006","country","ARG","ARG-EPHC","union_ci","urban","quintile_3","Total","Total","Total","Total","0.42377125","0.49392751","1.1655521","25346.0"
"year","2006","country","ARG","ARG-EPHC","jefa_ch","Total","quintile_4","Total","Total","Total","Total","0.32795853","0.76843303","2.3430798","8256.0"
"year","2006","country","ARG","ARG-EPHC","jefaecon_ch","Total","quintile_4","Total","Total","Total","Total","0.37973948999999996","0.79699749","2.0988007","8256.0"
"year","2006","country","ARG","ARG-EPHC","pobfem_ci","Total","quintile_4","Total","Total","Total","Total","0.5264271899999999","0.48984449999999996","0.93050766","24242.0"
"year","2006","country","ARG","ARG-EPHC","miembro6_ch","Total","quintile_4","Total","Total","Total","Total","0.17805582","0.64789027","3.6386919","8256.0"
"year","2006","country","ARG","ARG-EPHC","miembro6y16_ch","Total","quintile_4","Total","Total","Total","Total","0.26206008999999997","0.7357235","2.807461","8256.0"
"year","2006","country","ARG","ARG-EPHC","miembro65_ch","Total","quintile_4","Total","Total","Total","Total","0.33946671","0.78260905","2.3054072999999997","8256.0"
"year","2006","country","ARG","ARG-EPHC","unip_ch","Total","quintile_4","Total","Total","Total","Total","0.18987885000000002","0.63258791","3.3315346","8256.0"
"year","2006","country","ARG","ARG-EPHC","nucl_ch","Total","quintile_4","Total","Total","Total","Total","0.64312881","0.78942466","1.2274752","8256.0"
"year","2006","country","ARG","ARG-EPHC","ampl_ch","Total","quintile_4","Total","Total","Total","Total","0.15151528","0.60543048","3.9958379","8256.0"
"year","2006","country","ARG","ARG-EPHC","comp_ch","Total","quintile_4","Total","Total","Total","Total","0.0060886639","0.1318506","21.655094000000002","8256.0"
"year","2006","country","ARG","ARG-EPHC","corres_ch","Total","quintile_4","Total","Total","Total","Total","0.0093884099","0.12797377","13.631038","8256.0"
"year","2006","country","ARG","ARG-EPHC","depen_ch","Total","quintile_4","Total","Total","Total","Total","1.6856613999999999","0.014221816000000002","0.84369355","8256.0"
"year","2006","country","ARG","ARG-EPHC","tamh_ch","Total","quintile_4","Total","Total","Total","Total","2.8753547999999998","0.023847037999999997","0.82935989","8256.0"
"year","2006","country","ARG","ARG-EPHC","pob18_ci","Total","quintile_4","Total","Total","Total","Total","0.23268723000000002","0.41403067","1.7793442","24242.0"
"year","2006","country","ARG","ARG-EPHC","pob65_ci","Total","quintile_4","Total","Total","Total","Total","0.15507552","0.35505947","2.2895906000000004","24242.0"
"year","2006","country","ARG","ARG-EPHC","union_ci","Total","quintile_4","Total","Total","Total","Total","0.44380305999999997","0.48859277","1.1009225","24242.0"
"year","2006","country","ARG","ARG-EPHC","jefa_ch","urban","quintile_4","Total","Total","Total","Total","0.32795853","0.76843303","2.3430798","8256.0"
"year","2006","country","ARG","ARG-EPHC","jefaecon_ch","urban","quintile_4","Total","Total","Total","Total","0.37973948999999996","0.79699749","2.0988007","8256.0"
"year","2006","country","ARG","ARG-EPHC","pobfem_ci","urban","quintile_4","Total","Total","Total","Total","0.5264271899999999","0.48984449999999996","0.93050766","24242.0"
"year","2006","country","ARG","ARG-EPHC","miembro6_ch","urban","quintile_4","Total","Total","Total","Total","0.17805582","0.64789027","3.6386919","8256.0"
"year","2006","country","ARG","ARG-EPHC","miembro6y16_ch","urban","quintile_4","Total","Total","Total","Total","0.26206008999999997","0.7357235","2.807461","8256.0"
"year","2006","country","ARG","ARG-EPHC","miembro65_ch","urban","quintile_4","Total","Total","Total","Total","0.33946671","0.78260905","2.3054072999999997","8256.0"
"year","2006","country","ARG","ARG-EPHC","unip_ch","urban","quintile_4","Total","Total","Total","Total","0.18987885000000002","0.63258791","3.3315346","8256.0"
"year","2006","country","ARG","ARG-EPHC","nucl_ch","urban","quintile_4","Total","Total","Total","Total","0.64312881","0.78942466","1.2274752","8256.0"
"year","2006","country","ARG","ARG-EPHC","ampl_ch","urban","quintile_4","Total","Total","Total","Total","0.15151528","0.60543048","3.9958379","8256.0"
"year","2006","country","ARG","ARG-EPHC","comp_ch","urban","quintile_4","Total","Total","Total","Total","0.0060886639","0.1318506","21.655094000000002","8256.0"
"year","2006","country","ARG","ARG-EPHC","corres_ch","urban","quintile_4","Total","Total","Total","Total","0.0093884099","0.12797377","13.631038","8256.0"
"year","2006","country","ARG","ARG-EPHC","depen_ch","urban","quintile_4","Total","Total","Total","Total","1.6856613999999999","0.014221816000000002","0.84369355","8256.0"
"year","2006","country","ARG","ARG-EPHC","tamh_ch","urban","quintile_4","Total","Total","Total","Total","2.8753547999999998","0.023847037999999997","0.82935989","8256.0"
"year","2006","country","ARG","ARG-EPHC","pob18_ci","urban","quintile_4","Total","Total","Total","Total","0.23268723000000002","0.41403067","1.7793442","24242.0"
"year","2006","country","ARG","ARG-EPHC","pob65_ci","urban","quintile_4","Total","Total","Total","Total","0.15507552","0.35505947","2.2895906000000004","24242.0"
"year","2006","country","ARG","ARG-EPHC","union_ci","urban","quintile_4","Total","Total","Total","Total","0.44380305999999997","0.48859277","1.1009225","24242.0"
"year","2006","country","ARG","ARG-EPHC","jefa_ch","Total","quintile_5","Total","Total","Total","Total","0.34281902000000003","0.73921216","2.156275","9513.0"
"year","2006","country","ARG","ARG-EPHC","jefaecon_ch","Total","quintile_5","Total","Total","Total","Total","0.40718181999999997","0.76654172","1.8825539","9513.0"
"year","2006","country","ARG","ARG-EPHC","pobfem_ci","Total","quintile_5","Total","Total","Total","Total","0.5228191","0.50428015","0.96454042","22986.0"
"year","2006","country","ARG","ARG-EPHC","miembro6_ch","Total","quintile_5","Total","Total","Total","Total","0.10203728999999999","0.46889997","4.5953784","9513.0"
"year","2006","country","ARG","ARG-EPHC","miembro6y16_ch","Total","quintile_5","Total","Total","Total","Total","0.14581728","0.55769241","3.8245977999999994","9513.0"
"year","2006","country","ARG","ARG-EPHC","miembro65_ch","Total","quintile_5","Total","Total","Total","Total","0.27239334000000004","0.69204235","2.5405993","9513.0"
"year","2006","country","ARG","ARG-EPHC","unip_ch","Total","quintile_5","Total","Total","Total","Total","0.29342268","0.70806891","2.4131362000000003","9513.0"
"year","2006","country","ARG","ARG-EPHC","nucl_ch","Total","quintile_5","Total","Total","Total","Total","0.60176277","0.75912857","1.261508","9513.0"
"year","2006","country","ARG","ARG-EPHC","ampl_ch","Total","quintile_5","Total","Total","Total","Total","0.08682481800000001","0.43041733","4.9573073","9513.0"
"year","2006","country","ARG","ARG-EPHC","comp_ch","Total","quintile_5","Total","Total","Total","Total","0.0046133959","0.10288187","22.30068","9513.0"
"year","2006","country","ARG","ARG-EPHC","corres_ch","Total","quintile_5","Total","Total","Total","Total","0.013376324","0.16052264","12.000504","9513.0"
"year","2006","country","ARG","ARG-EPHC","depen_ch","Total","quintile_5","Total","Total","Total","Total","1.348013","0.0091579081","0.67936349","9513.0"
"year","2006","country","ARG","ARG-EPHC","tamh_ch","Total","quintile_5","Total","Total","Total","Total","2.3471884999999997","0.019698963","0.8392579","9513.0"
"year","2006","country","ARG","ARG-EPHC","pob18_ci","Total","quintile_5","Total","Total","Total","Total","0.15645805","0.36768907","2.3500807","22986.0"
"year","2006","country","ARG","ARG-EPHC","pob65_ci","Total","quintile_5","Total","Total","Total","Total","0.14450097","0.35835832","2.4799716","22986.0"
"year","2006","country","ARG","ARG-EPHC","union_ci","Total","quintile_5","Total","Total","Total","Total","0.46333659999999993","0.50374788","1.0872178999999997","22985.0"
"year","2006","country","ARG","ARG-EPHC","jefa_ch","urban","quintile_5","Total","Total","Total","Total","0.34281902000000003","0.73921216","2.156275","9513.0"
"year","2006","country","ARG","ARG-EPHC","jefaecon_ch","urban","quintile_5","Total","Total","Total","Total","0.40718181999999997","0.76654172","1.8825539","9513.0"
"year","2006","country","ARG","ARG-EPHC","pobfem_ci","urban","quintile_5","Total","Total","Total","Total","0.5228191","0.50428015","0.96454042","22986.0"
"year","2006","country","ARG","ARG-EPHC","miembro6_ch","urban","quintile_5","Total","Total","Total","Total","0.10203728999999999","0.46889997","4.5953784","9513.0"
"year","2006","country","ARG","ARG-EPHC","miembro6y16_ch","urban","quintile_5","Total","Total","Total","Total","0.14581728","0.55769241","3.8245977999999994","9513.0"
"year","2006","country","ARG","ARG-EPHC","miembro65_ch","urban","quintile_5","Total","Total","Total","Total","0.27239334000000004","0.69204235","2.5405993","9513.0"
"year","2006","country","ARG","ARG-EPHC","unip_ch","urban","quintile_5","Total","Total","Total","Total","0.29342268","0.70806891","2.4131362000000003","9513.0"
"year","2006","country","ARG","ARG-EPHC","nucl_ch","urban","quintile_5","Total","Total","Total","Total","0.60176277","0.75912857","1.261508","9513.0"
"year","2006","country","ARG","ARG-EPHC","ampl_ch","urban","quintile_5","Total","Total","Total","Total","0.08682481800000001","0.43041733","4.9573073","9513.0"
"year","2006","country","ARG","ARG-EPHC","comp_ch","urban","quintile_5","Total","Total","Total","Total","0.0046133959","0.10288187","22.30068","9513.0"
