"si_station_num","si_sri","si_mp","si_lat","si_lon","county_code","muni_code","county_descr","muni","ev_aadt_tot","ev_aadt_dir1","ev_aadt_dir2","count_year","station_desc","direction"
"7-0-428","08000620__","1.35","39.71789823","-75.32574152","8","824","Gloucester","Woolwich Twp","2275","1143","1132","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"110627","06000659__","1.05","39.4482402","-75.20875614","6","613","Cumberland","Upper Deerfield Twp","6042","3098","2944","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"12mc4c","00000516__","13.38","40.41905","-74.14297","13","1318","Monmouth","Holmdel Twp","9077","4036","5041","2012-01-01T00:00:00.000","major","East/West"
"110628","06000659__","4.98","39.469566","-75.143275","6","603","Cumberland","Deerfield Twp","1200","657","543","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"7-0-298","04000712__","1.89","39.76643104","-74.88793102","4","435","Camden","Waterford Twp","3649","1879","1770","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"061201","00000035__","56.16","40.568074","-74.289282","12","1225","Middlesex","Woodbridge Twp","29638","14083","15555","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"1116105","160006943_","0.25","41.01208","-74.36842","16","1615","Passaic","West Milford Twp","3137","1549","1588","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"121378","13000055__","2.16","40.2631139","-74.2468722","13","1316","Monmouth","Freehold Twp","24758","12354","12404","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"5-4-446","00000543__","8.41","40.02198003","-74.99108602","3","308","Burlington","Cinnaminson Twp","9300","4719","4581","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"110630","06000687__","2.12","39.4989544","-75.18116783","6","613","Cumberland","Upper Deerfield Twp","1006","495","511","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"7-8-109","17000623__","0.94","39.4708202","-75.41510802","17","1705","Salem","Mannington Twp","929","467","462","2012-01-01T00:00:00.000","Classification 48hrs","North/South"
"110737","07000630__","0.31","40.72171","-74.29218","7","712","Essex","Millburn Twp","20299","10631","9668","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"7-0-487","04071005__","0.1","39.87912629","-75.12367677","4","407","Camden","Brooklawn Boro","1211","525","686","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"121392","13161329__","0.34","40.2386611","-74.2817778","13","1316","Monmouth","Freehold Twp","62922","5525","57397","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"110126","01000646__","2.06","39.43299","-74.58363","1","108","Atlantic","Egg Harbor Twp","21745","11909","9836","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"121393","13341417__","0.23","40.2113083","-74.0651639","13","1334","Monmouth","Neptune Twp","2992","1553","1439","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"6-9-471","00000033__","27","40.24359823","-74.28793849","13","1316","Monmouth","Freehold Twp","29246","15233","14013","2012-01-01T00:00:00.000","Classification 48hrs","East/West"
"121397","00000033__","25.66","40.2509028","-74.3109444","13","1316","Monmouth","Freehold Twp","20425","9912","10513","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"7-9-375","08000607__","9.35","39.8239344","-75.29424849","8","807","Gloucester","Greenwich Twp","1014","492","522","2012-01-01T00:00:00.000","Classification 48hrs","North/South"
"121596","00000539__","34.33","40.0735","-74.47159","15","1523","Ocean","Plumsted Twp","10980","5712","5268","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"110141","01000663__","1.05","39.414368","-74.5091","1","119","Atlantic","Pleasantville City","2736","1309","1427","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"121701","00000048__","1.87","39.7046504","-75.44249245","17","1702","Salem","Elmer Boro","7354","3683","3671","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"12n888r","00000046__B106420",,"40.89329957","-74.12522201","2","211","Bergen","Elmwood Park Boro","0","2175","0","2012-01-01T00:00:00.000","ramp","East"
"090103","00000322__","46.2","39.47485","-74.708546","1","112","Atlantic","Hamilton Twp","27060","12698","14362","2012-01-01T00:00:00.000","Classification 48hrs","East/West"
"111914","19000619__","1.26","41.0595982","-74.84453318","19","1920","Sussex","Stillwater Twp","634","332","302","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"090111","00000030__","51.02","39.43347091","-74.51351726","1","101","Atlantic","Absecon City","35614","17549","18065","2012-01-01T00:00:00.000","Classification 48hrs","East/West"
"1-3-018","00000080__","10.8","40.92963617","-74.98147929","21","2111","Warren","Hope Twp","50785","25967","24818","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"120111","00000206__","1.32","39.66458726","-74.77744998","1","113","Atlantic","Hammonton Town","9715","4879","4836","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"7n5h706","00000561__","43.5","39.878526","-75.00716","4","409","Camden","Cherry Hill Twp","41379","20265","21114","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"120112","00000009__","40.33","39.3968096","-74.5273836","1","119","Atlantic","Pleasantville City","16669","8409","8260","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"7-9-406","04000670__","1.8","39.85849004","-75.00721303","4","434","Camden","Voorhees Twp","14538","7172","7366","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"121703","00000049__","2.73","39.64919557","-75.51952343","17","1709","Salem","Pilesgrove Twp","16440","8013","8427","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"12s131r","00000047__Y106930","69.44","39.79523879","-75.11538982","8","802","Gloucester","Deptford Twp","0","0","5567","2012-01-01T00:00:00.000","ramp","South"
"2-7-107","02000070__","1.36","40.93118121","-74.00829343","2","203","Bergen","Bergenfield Boro","6965","3522","3443","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"12s133r","00000047__X106940","69.51","39.79589215","-75.11612311","8","802","Gloucester","Deptford Twp","0","0","2134","2012-01-01T00:00:00.000","ramp","South"
"120218","020000411_","3.29","40.89597167","-74.02894233","2","260","Bergen","Teaneck Twp","17742","9154","8588","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"1-4-229","00000202__","59","40.92614537","-74.33237079","14","1421","Morris","Montville Twp","12442","6246","6196","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"121704","00000049__","3.81","39.63439071","-75.51372494","17","1709","Salem","Pilesgrove Twp","10907","5477","5430","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"12s132r","00000047__B106940","69.53","39.79626709","-75.11616255","8","802","Gloucester","Deptford Twp","0","0","2430","2012-01-01T00:00:00.000","ramp","South"
"2-5l095","00000003__","9.38","40.79226098","-74.05577212","9","909","Hudson","Secaucus Town","0","17436","15958","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"1-4-523","19000616__","0.08","41.0529274","-74.74989157","19","1915","Sussex","Newton Town","10164","4610","5554","2012-01-01T00:00:00.000","Classification 48hrs","East/West"
"121705","00000049__","9.94","39.5626166","-75.45641032","17","1713","Salem","Carneys Point Twp","8465","4012","4453","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"7-0-241","00000532__","4.41","39.84543579","-74.72820417","3","335","Burlington","Tabernacle Twp","4002","1958","2044","2012-01-01T00:00:00.000","Classification 48hrs","East/West"
"120308","00000130__","35.92","39.98691003","-75.01164003","3","308","Burlington","Cinnaminson Twp","59340","29042","30298","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"12s174r","00000295__X101490","14.76","39.80590957","-75.30273749","8","809","Gloucester","Logan Twp","0","0","904","2012-01-01T00:00:00.000","ramp","South"
"120291","020001052_","0.27","40.90575","-74.10146","2","257","Bergen","Saddle Brook Twp","12954","4765","8189","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"12mc4a","00000516__","17.67","40.41437","-74.072913","13","1331","Monmouth","Middletown Twp","9328","4461","4867","2012-01-01T00:00:00.000","major","East/West"
"121803","18000632__","1.39","40.43711","-74.588455","18","1808","Somerset","Franklin Twp","4179","2074","2105","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"11ms8d","17000626__","4.95","39.532315","-75.402176","17","1711","Salem","Quinton Twp","1031","517","514","2012-01-01T00:00:00.000","major","North/South"
"121896","00000022__","32.93","40.58752408","-74.63844907","18","1806","Somerset","Bridgewater Twp","43207","22946","20261","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"1-4-211","00000046__","32.54","40.88733958","-74.66138017","14","1436","Morris","Roxbury Twp","42349","20589","21760","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"120314","00000038__","12.74","39.97250522","-74.85201413","3","316","Burlington","Hainesport Twp","32978","16980","15998","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"1-7-610","00000078__","22.2","40.646594","-74.807284","10","1006","Hunterdon","Clinton Twp","109710","51922","57788","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"120422","04000713__","2.58","39.76505401","-74.85782703","4","435","Camden","Waterford Twp","2580","1266","1314","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"12n887r","00000046__A106600",,"40.88689873","-74.09233065","2","257","Bergen","Saddle Brook Twp","0","3843","0","2012-01-01T00:00:00.000","ramp","East"
"110738","07000630__","0.99","40.721035","-74.28001","7","711","Essex","Maplewood Twp","6950","3553","3397","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"12s178r","00000295__X101540","15.41","39.8078641","-75.29073145","8","807","Gloucester","Greenwich Twp","0","0","280","2012-01-01T00:00:00.000","ramp","South"
"2-7-739","02000039__","7.16","40.94277306","-73.99294201","2","210","Bergen","Dumont Boro","10128","5076","5052","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"090706","00000508__","1.34","40.77891357","-74.32832399","7","710","Essex","Livingston Twp","15741","7633","8108","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"120424","04000716__","3.91","39.74974505","-74.87157903","4","435","Camden","Waterford Twp","2855","1387","1468","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"7n5h703","04000678__","0.86","39.84949703","-75.00846101","4","434","Camden","Voorhees Twp","15690","7303","8387","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"110372","03000637__","0.52","40.01438612","-74.82847114","3","337","Burlington","Westampton Twp","9358","4672","4686","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"1103b8","03000686__","2.94","39.97288786","-74.88939521","3","324","Burlington","Mount Laurel Twp","12219","6421","5798","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"2-8-619","02191630__","0.13","40.85628798","-73.97518121","2","219","Bergen","Fort Lee Boro","0","4611","0","2012-01-01T00:00:00.000","Volume 48hrs","North"
"110302","03000603__","0.88","39.931201","-74.888576","3","324","Burlington","Mount Laurel Twp","8997","4931","4066","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"8-7-553","00000206__","1.13","39.66216171","-74.77917926","1","113","Atlantic","Hammonton Town","9675","4711","4964","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"12s162r","00000295__Y101040","0.15","39.76260317","-75.36043288","8","809","Gloucester","Logan Twp","0","0","2324","2012-01-01T00:00:00.000","ramp","South"
"110773","07000659__","1.01","40.78465","-74.2336","7","722","Essex","West Orange Twp","14016","7108","6908","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"110308","03000607__","0.31","39.889159","-74.922082","3","313","Burlington","Evesham Twp","14346","7216","7130","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"120431","04000729__","0.98","39.89696643","-75.07396007","4","426","Camden","Oaklyn Boro","2224","1033","1191","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"7n5h715","04121127__","0.51","39.91275516","-75.06216456","4","412","Camden","Collingswood Boro","2266","1357","909","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"120432","04000732__","0.23","39.90982863","-75.07838106","4","412","Camden","Collingswood Boro","1410","763","647","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"12mc4a","00000516__","17.67","40.41437","-74.072913","13","1331","Monmouth","Middletown Twp","8505","4042","4463","2012-01-01T00:00:00.000","major","East/West"
"120433","04000733__","0.32","39.80690802","-74.97874102","4","411","Camden","Clementon Boro","1248","557","691","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"12s134r","00000049__A103770","0.04","39.39209751","-75.01126012","6","610","Cumberland","Millville City","0","0","714","2012-01-01T00:00:00.000","ramp","South"
"120455","04081604__","1.62","39.94140003","-75.12194207","4","408","Camden","Camden City","2512","1249","1263","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"090710","00000508__","8.57","40.75576422","-74.2162964","7","705","Essex","East Orange City","15835","7377","8458","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"120456","00000030__","26.95","39.67409113","-74.82692803","4","436","Camden","Winslow Twp","13062","6493","6569","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"12n951r","00000078__Y100400","3.94","40.67055","-75.1354","21","2107","Warren","Greenwich Twp","0","0","517","2012-01-01T00:00:00.000","ramp","West"
"120457","04091978__","0.21","39.94191623","-75.02158987","4","409","Camden","Cherry Hill Twp","8378","3438","4940","2012-01-01T00:00:00.000","Classification 48hrs","North/South"
"110306","03000605__","1.04","40.032237","-74.957376","3","330","Burlington","Riverside Twp","7064","3470","3594","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"120458","04371125__","0.28","39.91750705","-75.09613305","4","437","Camden","Woodlynne Boro","4200","1904","2296","2012-01-01T00:00:00.000","Classification 48hrs","East/West"
"7n5h716","00000561__","47.07","39.91330905","-75.05858501","4","412","Camden","Collingswood Boro","12771","6368","6403","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"110775","07000662__","0.3","40.881145","-74.279236","7","707","Essex","Fairfield Boro","7561","3334","4227","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"090715","00000509__","12.97","40.76336962","-74.20300793","7","705","Essex","East Orange City","7899","4108","3791","2012-01-01T00:00:00.000","Classification 48hrs","North/South"
"110776","07000665__","0.99","40.734077","-74.2474","7","711","Essex","Maplewood Twp","10488","6014","4474","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"7p6d902","00000322__","8.2","39.756136","-75.269399","8","824","Gloucester","Woolwich Twp","17762","8988","8774","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"120454","04081604__","0.29","39.92258963","-75.12134182","4","408","Camden","Camden City","972","585","387","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"8-4-209","00000009__","2.85","38.96730354","-74.91815863","5","505","Cape May","Lower Twp","14561","7753","6808","2012-01-01T00:00:00.000","Classification 48hrs","North/South"
"120501","00000047__","16.28","39.16426","-74.82826","5","504","Cape May","Dennis Twp","7680","3694","3986","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"110310","03000607__","3.94","39.939855","-74.937845","3","324","Burlington","Mount Laurel Twp","19819","8652","11167","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"120502","00000047__","1.1","38.99225836","-74.83622761","5","505","Cape May","Lower Twp","25651","12228","13423","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"110309","03000607__","1.48","39.90614324","-74.92235385","3","313","Burlington","Evesham Twp","17011","8670","8341","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"120503","00000009__","8.7","39.03389041","-74.85978016","5","506","Cape May","Middle Twp","14543","7093","7450","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"7t6e901","00000042__","6.28","39.76700203","-75.04810651","8","818","Gloucester","Washington Twp","0","24234","0","2012-01-01T00:00:00.000","Volume 48hrs","North"
"120453","04000700__","1.32","39.83109661","-74.97966423","4","413","Camden","Gibbsboro Boro","545","225","320","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"12n970r","00000046__B105760",,"40.89272323","-74.22484914","16","1612","Passaic","Totowa Boro","0","1310","0","2012-01-01T00:00:00.000","ramp","East"
"120608","00000049__","20.73","39.46872","-75.30046","6","612","Cumberland","Stow Creek Twp","7122","3659","3463","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"110746","07000636__","3.06","40.808407","-74.261185","7","722","Essex","West Orange Twp","21259","10434","10825","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"120610","00000047__","44.06","39.45111738","-75.04252699","6","614","Cumberland","Vineland City","21939","11513","10426","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"7-0-305","00000557__","31.71","39.55418702","-74.96974203","8","805","Gloucester","Franklin Twp","2016","1024","992","2012-01-01T00:00:00.000","Classification 48hrs","North/South"
"091316","00000520__","18.48","40.343103","-74.039069","13","1323","Monmouth","Little Silver Boro","17544","9439","8105","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"110316","03000612__","4.01","39.931699","-74.868586","3","324","Burlington","Mount Laurel Twp","3377","1735","1642","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"121993","00000023__","33.96","41.13292","-74.5748","19","1906","Sussex","Franklin Boro","22427","11049","11378","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"092103","21191200__","0.6","40.69752255","-75.18678961","21","2119","Warren","Phillipsburg Town","1394","1004","390","2012-01-01T00:00:00.000","Classification 48hrs","East/West"
"2p6d903","02491107__","0.13","40.841805","-73.999303","2","245","Bergen","Palisades Park Boro","7893","2143","5750","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"8-4-506","01000624__","1.7","39.57375146","-74.56301897","1","107","Atlantic","Egg Harbor City","348","181","167","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"2p6d904","02000100__","0.59","41.093973","-74.155052","2","233","Bergen","Mahwah Twp","11340","5586","5754","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"8-4-201","00000030__","30.62","39.63791597","-74.77706753","1","113","Atlantic","Hammonton Town","15552","7903","7649","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"120621","00000552__","6.59","39.43714903","-75.11064358","6","603","Cumberland","Deerfield Twp","13447","6980","6467","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"110313","03000609__","0.51","39.96303","-74.997258","3","319","Burlington","Maple Shade Twp","2319","1276","1043","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"120620","00000540__","33.26","39.49258476","-75.0435486","6","614","Cumberland","Vineland City","1554","877","677","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"5-5-312","00000029__","32.56","40.4954333","-75.0613","10","1016","Hunterdon","Kingwood Twp","2016","1017","999","2012-01-01T00:00:00.000","Classification 48hrs","North/South"
"120805","00000055__","56.9","39.80031108","-75.10838161","8","802","Gloucester","Deptford Twp","72178","36240","35938","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"110320","03000613__","2.49","40.01036588","-74.93613163","3","310","Burlington","Delran Twp","7296","3517","3779","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"120808","00000045__","15.79","39.71613309","-75.24678004","8","816","Gloucester","South Harrison Twp","5880","2733","3147","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"091918","00000519__","87.09","41.31333979","-74.65026026","19","1924","Sussex","Wantage Twp","992","513","479","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"121006","00000031__","15.8","40.4176694","-74.8616528","10","1008","Hunterdon","East Amwell Twp","23239","12106","11133","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"092106","00000094__","6.67","40.98126482","-75.00176394","21","2104","Warren","Blairstown Twp","7485","3708","3777","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"121002","10000621__","0.06","40.634182","-74.85","10","1006","Hunterdon","Clinton Twp","2171","731","1440","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"7-0-365","03000612__","8.09","39.94685102","-74.79844404","3","317","Burlington","Lumberton Twp","1148","582","566","2012-01-01T00:00:00.000","Classification 48hrs","North/South"
"121005","00000022__","27.62","40.6138528","-74.7324194","10","1022","Hunterdon","Readington Twp","27159","13065","14094","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
"8-4-326","00000109__","1.62","38.95148091","-74.90796757","5","505","Cape May","Lower Twp","19999","9804","10195","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"121108","00000031__","8.5","40.338818","-74.79649","11","1106","Mercer","Hopewell Twp","25254","12408","12846","2012-01-01T00:00:00.000","Volume 48hrs","North/South"
"12msab","00000563__","39.47","39.80996","-74.53338","3","339","Burlington","Woodland Twp","1816","916","900","2012-01-01T00:00:00.000","major","North/South"
"121132","11141245__","1","40.3455194","-74.6412944","11","1110","Mercer","Princeton Twp","4761","2740","2021","2012-01-01T00:00:00.000","Volume 48hrs","East/West"
